"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways"
"2017030111","1","away",FALSE,"REG","John Hynes",2,31,36,2,2,1,47.9,6,4
"2017030113","1","home",TRUE,"REG","John Hynes",5,41,33,64,7,1,55,10,10
"2017030114","1","home",FALSE,"REG","John Hynes",1,28,25,12,6,1,59.1,11,12
"2017030115","1","away",FALSE,"REG","John Hynes",1,27,22,10,1,0,40,8,5
"2012020122","1","away",TRUE,"REG","Peter DeBoer",3,27,19,21,3,1,46.6,6,9
"2013020275","4","away",TRUE,"REG","Craig Berube",2,21,31,10,2,1,55.7,1,8
"2013021213","4","away",TRUE,"OT","Craig Berube",4,21,24,12,2,1,54,5,4
"2013020446","4","away",FALSE,"REG","Craig Berube",1,28,21,45,5,0,50.7,7,3
"2012020251","4","home",TRUE,"REG","Peter Laviolette",5,39,40,22,6,3,41.3,9,7
"2012020598","4","home",FALSE,"REG","Peter Laviolette",1,25,26,22,2,0,51.7,8,7
"2014020793","26","away",TRUE,"REG","Darryl Sutter",4,44,39,7,1,0,39,1,2
"2014020526","26","home",TRUE,"REG","Darryl Sutter",3,29,36,4,4,2,46.3,17,4
"2014020643","26","home",FALSE,"REG","Darryl Sutter",3,26,31,13,4,0,50,10,3
"2014020998","26","away",TRUE,"REG","Darryl Sutter",5,30,26,6,3,1,44.3,4,14
"2014020303","26","away",FALSE,"REG","Darryl Sutter",4,41,36,12,5,1,44.9,7,9
"2014020817","26","home",TRUE,"REG","Darryl Sutter",5,45,29,11,2,0,60,14,5
"2014020190","14","home",TRUE,"REG","Jon Cooper",5,33,17,12,1,0,60.7,6,8
"2014021002","14","away",FALSE,"SO","Jon Cooper",2,37,27,20,2,0,53.3,3,11
"2014021172","14","away",TRUE,"REG","Jon Cooper",4,22,23,8,1,1,54.9,2,4
"2015020687","14","home",TRUE,"REG","Jon Cooper",6,31,21,10,2,0,41,12,9
"2015020007","14","home",TRUE,"OT","Jon Cooper",3,32,25,6,3,1,49.2,14,7
"2015030211","14","home",FALSE,"REG","Jon Cooper",3,36,33,8,2,0,39.6,13,2
