"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways"
"2012030221","3","away",FALSE,"OT","John Tortorella",2,35,44,8,3,0,44.8,17,7
"2012030221","6","home",TRUE,"OT","Claude Julien",3,48,51,6,4,1,55.2,4,5
"2012030222","3","away",FALSE,"REG","John Tortorella",2,37,33,11,5,0,51.7,1,4
"2012030222","6","home",TRUE,"REG","Claude Julien",5,32,36,19,1,0,48.3,16,6
"2012030312","6","away",TRUE,"REG","Claude Julien",6,29,19,6,1,0,50.9,2,5
"2012030312","5","home",FALSE,"REG","Dan Bylsma",1,27,37,4,2,0,49.1,12,5
"2012030313","5","away",FALSE,"OT","Dan Bylsma",1,54,46,16,6,0,57.3,8,10
"2012030313","6","home",TRUE,"OT","Claude Julien",2,40,34,18,5,0,42.7,10,13
"2012030314","5","away",FALSE,"REG","Dan Bylsma",0,26,33,8,3,0,47.5,8,1
"2012030314","6","home",TRUE,"REG","Claude Julien",1,24,25,8,3,0,52.5,11,5
"2012030231","17","away",FALSE,"REG","Mike Babcock",1,21,43,10,3,0,52.5,6,4
"2012030231","16","home",TRUE,"REG","Joel Quenneville",4,42,24,10,3,1,47.5,2,11
"2013020885","19","away",FALSE,"REG","Ken Hitchcock",0,20,31,8,3,0,46.4,7,5
"2013020885","23","home",TRUE,"REG","John Tortorella",1,35,18,6,4,0,53.6,9,6
"2013020937","8","away",TRUE,"SO","Michel Therrien",3,31,33,17,5,0,50.7,10,4
"2013020937","24","home",FALSE,"SO","Bruce Boudreau",3,42,37,15,6,1,49.3,12,8
"2013020275","4","away",TRUE,"REG","Craig Berube",2,21,31,10,2,1,55.7,1,8
"2013020275","5","home",FALSE,"REG","Dan Bylsma",1,31,24,6,4,1,44.3,10,6
"2013020411","5","away",TRUE,"OT","Dan Bylsma",3,34,26,8,5,2,45.8,18,8
"2013020411","2","home",FALSE,"OT","Jack Capuano",2,23,20,14,2,0,54.2,13,14
"2012020577","12","away",FALSE,"REG","Kirk Muller",2,42,20,4,1,0,52.7,3,11
"2012020577","6","home",TRUE,"REG","Claude Julien",6,36,15,2,2,0,47.3,10,3
"2013021085","17","away",FALSE,"REG","Mike Babcock",2,33,32,8,2,0,41.7,4,3
"2013021085","29","home",TRUE,"REG","Todd Richards",4,28,33,6,4,2,58.3,5,5
"2017021046","24","away",FALSE,"REG","Randy Carlyle",1,27,17,4,3,0,50,6,2
"2017021046","25","home",TRUE,"REG","Ken Hitchcock",2,37,17,6,2,2,50,4,4
"2015020201","13","away",FALSE,"REG","Gerard Gallant",1,19,39,2,3,0,41.2,6,4
"2015020201","26","home",TRUE,"REG","Darryl Sutter",4,35,36,6,1,1,58.8,10,3
"2015020079","21","away",FALSE,"REG","Patrick Roy",1,23,31,28,6,1,41,3,1
"2015020079","26","home",TRUE,"REG","Darryl Sutter",2,40,21,32,4,0,59,16,4
